"Part";"Value";"Device";"Package";"Description";"";
"JP1";"";"M15";"1X15";"Header 15";"";
"JP2";"";"M15";"1X15";"Header 15";"";
"JP3";"";"M15";"1X15";"Header 15";"";
"JP4";"";"M15";"1X15";"Header 15";"";
"JP5";"";"M15";"1X15";"Header 15";"";
"JP6";"";"M15";"1X15";"Header 15";"";
"JP7";"";"M15";"1X15";"Header 15";"";
"JP8";"";"M15";"1X15";"Header 15";"";
"JP9";"";"M15";"1X15";"Header 15";"";
"JP10";"";"M15";"1X15";"Header 15";"";
"JP11";"";"M15";"1X15";"Header 15";"";
"JP12";"";"M15";"1X15";"Header 15";"";
"JP13";"";"M15";"1X15";"Header 15";"";
"JP14";"";"M15";"1X15";"Header 15";"";
"JP15";"";"M15";"1X15";"Header 15";"";
"JP16";"";"M15";"1X15";"Header 15";"";
"JP17";"";"M15";"1X15";"Header 15";"";
"JP18";"";"M15";"1X15";"Header 15";"";
"JP19";"";"M15";"1X15";"Header 15";"";
"JP20";"";"M15";"1X15";"Header 15";"";
"JP41";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP42";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP43";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP44";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP45";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP46";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP47";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP48";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP49";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP50";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP51";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP52";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP53";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP54";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP55";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP56";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP57";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP58";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP59";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP60";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP61";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP62";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP63";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP64";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP65";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP66";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP67";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP68";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP69";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP70";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP71";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP72";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP73";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP74";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP75";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP76";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP77";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP78";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP79";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP80";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP81";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP82";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP83";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP84";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP85";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP86";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP87";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP88";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP89";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP90";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP91";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP92";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP93";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP94";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP95";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP96";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP97";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP98";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP99";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
"JP100";"";"M051.27MM";"1X05-1.27MM";"Header 5";"";
